Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Saint Josephs College,1141,100,27350,Great Lakes,Private not-for-profit,No,No,Town,1,0,9,5,0,80,2,3,1,59,41,100,171.15,15,912.8000000000001,27.35,0,0,Great Lakes,Town
Saint Mary-of-the-Woods College,649,100,27672,Great Lakes,Private not-for-profit,No,No,Rural,1,0,4,1,0,83,0,8,3,97,51,100,38.940000000000005,6.000000000000001,538.67,27.672,0,0,Great Lakes,Rural
Saint Mary's College,1479,98,34600,Great Lakes,Private not-for-profit,No,No,Suburb,0,1,1,12,0,77,3,4,2,100,21,97,207.05999999999997,13.999999999999998,1138.83,34.6,0,0,Great Lakes,Suburb
Taylor University,2146,99,28753,Great Lakes,Private not-for-profit,No,No,Town,0,3,2,3,0,86,1,0,5,55,24,99,171.68,8,1845.56,28.753,0,0,Great Lakes,Town
Trine University,1874,100,28850,Great Lakes,Private not-for-profit,No,No,Town,0,0,2,3,0,71,2,18,4,35,31,97,93.7,5,1330.54,28.85,0,0,Great Lakes,Town
Valparaiso University,3251,92,33480,Great Lakes,Private not-for-profit,No,No,Suburb,0,2,5,7,0,74,2,1,9,52,26,92,455.14000000000004,14.000000000000002,2405.74,33.48,0,0,Great Lakes,Suburb
Wabash College,902,95,35650,Great Lakes,Private not-for-profit,No,No,Town,0,3,6,6,0,76,3,1,5,0,29,94,135.29999999999998,15,685.52,35.65,0,0,Great Lakes,Town
Briar Cliff University,1042,97,26650,Plains,Private not-for-profit,No,No,City,1,2,6,9,0,77,1,0,4,57,45,97,187.56,18,802.34,26.65,0,0,Plains,City
Buena Vista University,2293,98,29448,Plains,Private not-for-profit,No,No,Town,0,1,2,5,0,82,1,6,2,66,41,98,183.44,8,1880.26,29.448,0,0,Plains,Town
Central College,1386,100,30700,Plains,Private not-for-profit,No,No,Town,0,1,2,3,0,86,3,4,1,53,30,100,83.16,6,1191.96,30.7,0,0,Plains,Town
Clarke University,1011,99,28000,Plains,Private not-for-profit,No,No,City,1,1,3,3,0,86,0,4,1,66,34,99,80.88,8,869.46,28,0,0,Plains,City
Coe College,1419,100,35730,Plains,Private not-for-profit,No,No,City,0,2,4,5,0,76,3,5,4,54,33,99,156.09,11,1078.44,35.73,0,0,Plains,City
Cornell College,1125,96,36430,Plains,Private not-for-profit,No,No,Town,1,3,5,13,0,65,3,4,6,55,37,96,247.5,22,731.25,36.43,0,0,Plains,Town
Dordt College,1376,100,26540,Plains,Private not-for-profit,No,No,Town,0,1,2,2,3,83,0,1,9,46,34,100,110.08,8,1142.08,26.54,0,0,Plains,Town
Drake University,3383,99,30889,Plains,Private not-for-profit,No,No,City,0,5,3,3,0,79,1,1,7,56,16,99,372.13,11,2672.57,30.889,0,0,Plains,City
University of Dubuque,1694,94,25520,Plains,Private not-for-profit,No,No,City,1,1,12,7,0,67,3,8,1,43,52,89,355.74,21,1134.98,25.52,0,0,Plains,City
Graceland University-Lamoni,1559,100,23530,Plains,Private not-for-profit,No,No,Rural,1,1,9,7,1,67,4,5,6,57,45,100,296.21,18.999999999999996,1044.53,23.53,0,0,Plains,Rural
Grand View University,2096,100,22628,Plains,Private not-for-profit,No,No,City,0,3,8,3,0,73,3,8,2,58,42,99,293.44000000000005,14.000000000000002,1530.08,22.628,0,0,Plains,City
Grinnell College,1721,90,43656,Plains,Private not-for-profit,No,No,Town,0,7,6,8,0,57,4,5,12,54,22,87,361.41,21.000000000000004,980.9699999999999,43.656,0,0,Plains,Town
Iowa State University,27659,88,7726,Plains,Public,No,No,City,0,3,3,4,0,77,2,4,8,43,21,75,2765.9,10,21297.43,7.726,1,0,Plains,City
Iowa Wesleyan College,599,100,25550,Plains,Private not-for-profit,No,No,Town,1,1,6,5,0,65,2,14,6,64,59,100,77.87,13,389.35,25.55,0,0,Plains,Town
University of Iowa,21974,83,8061,Plains,Public,No,No,City,0,3,3,6,0,71,2,4,10,52,20,55,2636.88,12.000000000000002,15601.539999999999,8.061,1,0,Plains,City
Loras College,1554,100,28852,Plains,Private not-for-profit,No,No,City,0,1,2,6,0,82,1,5,2,48,25,96,139.85999999999999,9,1274.28,28.852,0,0,Plains,City
Luther College,2466,100,37530,Plains,Private not-for-profit,No,No,Town,0,2,2,3,0,85,2,1,6,57,18,100,172.62,7.000000000000001,2096.1,37.53,0,0,Plains,Town
Maharishi University of Management,319,97,26430,Plains,Private not-for-profit,No,No,Town,1,3,10,13,0,52,5,3,12,46,68,97,86.13000000000001,27,165.88,26.43,0,0,Plains,Town
Morningside College,1305,100,25990,Plains,Private not-for-profit,No,No,City,0,1,1,5,0,83,2,5,2,53,40,100,91.35000000000001,7.000000000000001,1083.1499999999999,25.99,0,0,Plains,City
Mount Mercy University,1476,85,26310,Plains,Private not-for-profit,No,No,City,0,2,4,2,0,84,1,5,3,69,26,85,118.08,8,1239.84,26.31,0,0,Plains,City
University of Northern Iowa,10380,87,7685,Plains,Public,No,No,City,0,1,3,3,0,86,2,2,4,57,25,59,726.6,7.000000000000001,8926.8,7.685,1,0,Plains,City
Northwestern College,1233,100,26764,Plains,Private not-for-profit,No,No,Town,0,1,2,6,0,84,2,2,3,57,35,100,110.97,9,1035.72,26.764,0,0,Plains,Town
Saint Ambrose University,2743,100,26740,Plains,Private not-for-profit,No,No,City,0,1,4,6,0,82,2,4,2,59,25,100,301.73,11,2249.2599999999998,26.74,0,0,Plains,City
Simpson College,1712,100,30999,Plains,Private not-for-profit,No,No,Town,1,1,2,2,0,87,2,4,1,56,33,100,102.72,6,1489.44,30.999,0,0,Plains,Town
Upper Iowa University,4632,85,24400,Plains,Private not-for-profit,No,No,Rural,0,1,19,4,0,67,1,5,2,60,36,80,1111.68,24.000000000000004,3103.44,24.4,0,0,Plains,Rural
Wartburg College,1714,99,34250,Plains,Private not-for-profit,No,No,Town,0,1,6,2,0,78,2,1,9,53,27,97,154.26,9,1336.92,34.25,0,0,Plains,Town
William Penn University,1728,100,23210,Plains,Private not-for-profit,No,No,Town,0,1,14,7,0,69,1,4,3,50,55,94,380.16,22,1192.32,23.21,0,0,Plains,Town
Baker University,1897,100,25580,Plains,Private not-for-profit,No,No,Town,2,1,10,5,0,73,1,7,0,57,26,100,341.46,18,1384.81,25.58,0,0,Plains,Town
Benedictine College,2113,100,23900,Plains,Private not-for-profit,No,No,Town,0,1,3,6,0,81,3,2,3,52,25,100,211.3,10,1711.5300000000002,23.9,0,0,Plains,Town
Bethany College,665,98,23305,Plains,Private not-for-profit,No,No,Town,1,1,12,11,0,64,4,7,0,40,45,98,166.25,25,425.6,23.305,0,0,Plains,Town
Bethel College-North Newton,482,100,23500,Plains,Private not-for-profit,No,No,Town,1,1,13,10,0,71,3,0,2,51,48,97,120.5,25,342.21999999999997,23.5,0,0,Plains,Town
Central Christian College of Kansas,1037,93,14800,Plains,Private not-for-profit,No,No,Town,1,1,14,7,1,64,1,10,2,49,57,68,248.88000000000002,24.000000000000004,663.6800000000001,14.8,0,0,Plains,Town
Donnelly College,474,92,6579,Plains,Private not-for-profit,No,No,City,1,7,30,42,0,11,3,1,6,69,60,65,379.20000000000005,80,52.14,6.579,0,0,Plains,City
Emporia State University,3873,96,5614,Plains,Public,No,No,Town,0,1,5,6,0,71,5,2,9,60,41,70,464.76,12,2749.83,5.614,1,0,Plains,Town
Fort Hays State University,11433,97,4358,Plains,Public,No,No,Town,0,1,4,5,0,56,2,1,31,59,44,70,1143.3,10,6402.4800000000005,4.358,1,0,Plains,Town
Friends University,1609,100,23430,Plains,Private not-for-profit,No,No,City,2,2,10,4,0,72,6,4,0,56,44,97,289.62000000000006,18.000000000000004,1158.48,23.43,0,0,Plains,City
University of Kansas,19217,79,10107,Plains,Public,No,No,City,1,4,4,6,0,74,4,1,7,50,22,54,2882.5499999999997,15,14220.58,10.107,1,0,Plains,City
Newman University,2795,99,23650,Plains,Private not-for-profit,No,No,City,1,5,4,11,0,73,3,1,3,62,34,98,586.95,21.000000000000004,2040.35,23.65,0,0,Plains,City
Kansas State University,20169,83,8585,Plains,Public,No,No,City,0,1,4,6,0,77,3,2,7,48,24,63,2218.59,11,15530.130000000001,8.585,1,0,Plains,City
Kansas Wesleyan University,684,99,23800,Plains,Private not-for-profit,No,No,Town,1,1,7,13,0,73,2,0,3,54,33,99,150.48000000000002,22.000000000000004,499.32,23.8,0,0,Plains,Town
McPherson College,637,95,22891,Plains,Private not-for-profit,No,No,Town,0,1,14,9,0,71,3,0,2,41,44,95,152.88000000000002,24.000000000000004,452.27,22.891,0,0,Plains,Town
MidAmerica Nazarene University,1438,99,22290,Plains,Private not-for-profit,No,No,Suburb,1,2,11,5,0,66,1,14,0,61,43,95,273.22,19.000000000000004,949.08,22.29,0,0,Plains,Suburb
Ottawa University-Ottawa,538,100,23964,Plains,Private not-for-profit,No,No,Town,5,1,10,6,0,66,0,12,0,44,37,100,118.36,22,355.08000000000004,23.964,0,0,Plains,Town
Pittsburg State University,6236,91,5906,Plains,Public,No,No,Town,2,1,4,5,0,80,4,0,5,48,39,54,748.32,12.000000000000002,4988.8,5.906,1,0,Plains,Town
University of Saint Mary,890,100,23170,Plains,Private not-for-profit,No,No,Town,1,2,10,7,0,61,2,16,1,65,40,99,178,20,542.9,23.17,0,0,Plains,Town
Southwestern College,1358,100,23886,Plains,Private not-for-profit,No,No,Town,2,1,10,8,0,60,4,13,3,43,43,100,285.18,21,814.8,23.886,0,0,Plains,Town
Sterling College,690,100,21200,Plains,Private not-for-profit,No,No,Rural,1,0,9,9,1,72,0,7,0,46,41,100,138,20,496.79999999999995,21.2,0,0,Plains,Rural
Tabor College,725,100,22730,Plains,Private not-for-profit,No,No,Town,1,1,8,11,0,68,3,7,2,48,43,100,152.25000000000003,21.000000000000004,493.00000000000006,22.73,0,0,Plains,Town
Washburn University,6179,92,5774,Plains,Public,No,No,City,1,1,5,7,0,62,3,18,3,59,42,59,865.0600000000001,14.000000000000002,3830.98,5.774,1,0,Plains,City
Wichita State University,11670,89,6926,Plains,Public,No,No,City,1,7,6,9,0,64,2,4,7,52,39,64,2684.1,23,7468.8,6.926,1,0,Plains,City
Alice Lloyd College,631,100,10620,Southeast,Private not-for-profit,No,No,Rural,0,0,1,1,0,96,0,1,0,54,65,73,12.620000000000001,2,605.76,10.62,0,0,Southeast,Rural
Asbury University,1547,99,26076,Southeast,Private not-for-profit,No,No,Town,0,1,3,2,0,84,4,4,2,60,48,94,92.82,6,1299.48,26.076,0,0,Southeast,Town
Bellarmine University,2593,100,34890,Southeast,Private not-for-profit,No,No,City,0,2,4,3,0,83,2,2,2,64,27,100,233.37,9,2152.19,34.89,0,0,Southeast,City
Berea College,1623,100,23170,Southeast,Private not-for-profit,No,No,Town,0,2,15,4,0,64,5,2,8,57,91,100,340.83,21,1038.72,23.17,0,0,Southeast,Town
Brescia University,928,100,19640,Southeast,Private not-for-profit,No,No,City,0,1,11,6,0,67,0,13,1,72,45,97,167.04,18,621.76,19.64,0,0,Southeast,City
Campbellsville University,3048,95,22196,Southeast,Private not-for-profit,No,No,Town,0,0,10,1,0,79,1,2,6,58,57,90,335.28000000000003,11.000000000000002,2407.92,22.196,0,0,Southeast,Town
Centre College,1381,97,36020,Southeast,Private not-for-profit,No,No,Town,0,2,5,2,0,83,3,0,4,51,15,97,124.29000000000002,9.000000000000002,1146.23,36.02,0,0,Southeast,Town
University of the Cumberlands,2096,100,20000,Southeast,Private not-for-profit,No,No,Town,0,1,6,2,0,82,1,3,5,50,58,100,188.64,9,1718.7199999999998,20,0,0,Southeast,Town
Eastern Kentucky University,13891,97,7536,Southeast,Public,No,No,Town,0,1,5,2,0,85,2,3,2,56,48,43,1111.28,8,11807.35,7.536,1,0,Southeast,Town
Georgetown College,1043,98,32310,Southeast,Private not-for-profit,No,No,Town,0,1,10,3,0,76,2,6,2,54,37,98,146.02,14.000000000000002,792.6800000000001,32.31,0,0,Southeast,Town
Kentucky State University,2370,89,6276,Southeast,Public,Yes,No,Town,0,1,56,1,0,26,2,13,0,59,75,39,1374.6000000000001,58.00000000000001,616.2,6.276,1,1,Southeast,Town
Kentucky Wesleyan College,657,100,21200,Southeast,Private not-for-profit,No,No,City,0,0,12,2,0,74,0,10,2,48,48,100,91.97999999999999,13.999999999999998,486.18,21.2,0,0,Southeast,City
University of Kentucky,21441,93,10110,Southeast,Public,No,No,City,0,2,8,3,0,78,3,3,3,51,25,59,2787.33,13,16723.98,10.11,1,0,Southeast,City
Kentucky Christian University,559,100,17418,Southeast,Private not-for-profit,No,No,Town,0,0,11,1,0,70,3,14,1,46,52,97,67.08,12,391.29999999999995,17.418,0,0,Southeast,Town
Lindsey Wilson College,2200,100,22070,Southeast,Private not-for-profit,No,No,Town,0,1,9,1,0,70,2,18,0,59,63,98,241.99999999999997,10.999999999999998,1540,22.07,0,0,Southeast,Town
University of Louisville,15954,97,9946,Southeast,Public,No,No,City,0,3,11,4,0,76,4,0,1,51,32,58,2871.7200000000003,18.000000000000004,12125.04,9.946,1,0,Southeast,City
Mid-Continent University,2154,95,8673,Southeast,Private not-for-profit,No,No,Rural,0,0,14,2,0,79,1,2,1,65,83,4,344.64,16,1701.66,8.673,0,0,Southeast,Rural
Midway College,1247,100,22150,Southeast,Private not-for-profit,No,No,Rural,0,1,6,4,0,80,1,7,0,81,54,99,137.17,10.999999999999998,997.6,22.15,0,0,Southeast,Rural
Morehead State University,10076,99,7498,Southeast,Public,No,No,Town,0,0,3,1,0,91,1,1,1,61,52,73,403.04,4,9169.16,7.498,1,0,Southeast,Town
Murray State University,9172,99,7044,Southeast,Public,No,No,Town,0,1,7,2,0,82,2,2,5,58,38,70,917.2,10,7521.04,7.044,1,0,Southeast,Town
Northern Kentucky University,12794,95,8376,Southeast,Public,No,No,Suburb,0,1,7,2,0,82,2,2,4,55,38,49,1279.4,10,10491.08,8.376,1,0,Southeast,Suburb
University of Pikeville,1738,100,17750,Southeast,Private not-for-profit,No,No,Town,0,1,10,1,0,86,0,0,2,53,65,99,208.56,12,1494.68,17.75,0,0,Southeast,Town
Saint Catharine College,748,99,18106,Southeast,Private not-for-profit,No,No,Rural,1,0,8,3,0,86,1,1,1,65,83,81,89.75999999999999,11.999999999999998,643.28,18.106,0,0,Southeast,Rural
Spalding University,1371,99,22425,Southeast,Private not-for-profit,No,No,City,0,1,22,3,0,60,3,10,0,70,54,96,356.46000000000004,26,822.6,22.425,0,0,Southeast,City
Thomas More College,1502,100,27345,Southeast,Private not-for-profit,No,No,Suburb,0,1,6,2,0,77,2,11,1,52,41,98,135.18,9.000000000000002,1156.54,27.345,0,0,Southeast,Suburb
Transylvania University,1082,100,31560,Southeast,Private not-for-profit,No,No,City,0,2,3,3,0,83,3,4,2,57,30,100,86.56,8,898.06,31.56,0,0,Southeast,City
Union College,818,100,22000,Southeast,Private not-for-profit,No,No,Town,0,0,10,2,0,79,2,1,6,49,59,100,98.16000000000001,12.000000000000002,646.22,22,0,0,Southeast,Town
Western Kentucky University,17509,93,8722,Southeast,Public,No,No,City,0,1,10,2,0,78,2,1,5,57,44,32,2276.17,13,13657.02,8.722,1,0,Southeast,City
Centenary College of Louisiana,586,100,30740,Southeast,Private not-for-profit,No,No,City,1,3,15,6,0,70,3,0,3,56,37,100,146.5,25,410.2,30.74,0,0,Southeast,City
Dillard University,1183,99,16094,Southeast,Private not-for-profit,Yes,No,City,0,0,90,1,0,0,1,4,5,71,80,93,1076.53,91,0,16.094,0,1,Southeast,City
Grambling State University,4155,96,5950,Southeast,Public,Yes,No,Town,0,0,91,1,0,1,1,0,5,60,83,19,3822.6000000000004,92,41.550000000000004,5.95,1,1,Southeast,Town
Louisiana State University-Alexandria,2211,92,5337,Southeast,Public,No,No,Rural,1,1,15,4,0,76,2,0,0,70,59,30,464.31,21,1680.3600000000001,5.337,1,0,Southeast,Rural
Louisiana State University and Agricultural & Mechanical College,24923,93,7873,Southeast,Public,No,No,Rural,0,3,11,5,0,75,2,0,2,52,23,50,4735.37,19,18692.25,7.873,1,0,Southeast,Rural
Louisiana State University-Shreveport,3674,94,5606,Southeast,Public,No,No,City,1,2,20,4,0,62,3,7,2,59,35,57,991.98,27,2277.88,5.606,1,0,Southeast,City
Louisiana College,1116,96,14120,Southeast,Private not-for-profit,No,No,Suburb,0,1,22,2,0,68,1,1,4,48,41,96,279,25,758.8800000000001,14.12,0,0,Southeast,Suburb
Louisiana Tech University,9245,94,7302,Southeast,Public,No,No,Town,0,1,13,1,0,70,2,9,3,47,32,65,1386.7500000000002,15.000000000000002,6471.5,7.302,1,0,Southeast,Town
Loyola University New Orleans,2946,98,36860,Southeast,Private not-for-profit,No,No,City,1,4,16,16,0,51,4,6,4,59,35,97,1090.02,37,1502.46,36.86,0,0,Southeast,City
McNeese State University,7575,95,5701,Southeast,Public,No,No,City,1,1,18,2,0,73,2,0,3,62,39,38,1666.4999999999998,21.999999999999996,5529.75,5.701,1,0,Southeast,City
University of New Orleans,7144,90,6578,Southeast,Public,No,No,City,0,8,15,10,0,56,3,4,4,50,44,31,2357.5199999999995,32.99999999999999,4000.6400000000003,6.578,1,0,Southeast,City
Nicholls State University,5888,95,6468,Southeast,Public,No,No,City,2,1,20,3,0,68,3,2,2,62,44,34,1530.88,26,4003.84,6.468,1,0,Southeast,City
University of Louisiana at Monroe,7276,96,6318,Southeast,Public,No,No,City,0,2,25,2,0,64,2,2,2,63,50,42,2110.0400000000004,29.000000000000004,4656.64,6.318,1,0,Southeast,City
Northwestern State University of Louisiana,7836,95,6207,Southeast,Public,No,No,Town,1,1,27,5,0,57,3,4,1,68,48,67,2664.2400000000002,34,4466.5199999999995,6.207,1,0,Southeast,Town
Our Lady of Holy Cross College,878,81,9950,Southeast,Private not-for-profit,No,No,City,1,4,26,6,0,52,3,8,0,83,42,20,324.86,37,456.56,9.95,0,0,Southeast,City
Southeastern Louisiana University,13730,93,5715,Southeast,Public,No,No,City,0,1,15,5,0,67,5,5,2,60,41,31,2883.3,21.000000000000004,9199.1,5.715,1,0,Southeast,City
Southern University and A & M College,5746,98,6630,Southeast,Public,Yes,No,City,0,0,94,1,0,3,1,0,0,63,20,26,5458.7,95,172.38,6.63,1,1,Southeast,City
Southern University at New Orleans,1809,58,4911,Southeast,Public,Yes,No,City,0,1,83,1,0,2,0,13,0,75,58,12,1537.6499999999999,85,36.18,4.911,1,1,Southeast,City
University of Louisiana at Lafayette,15053,94,6192,Southeast,Public,No,No,City,0,2,21,3,0,69,2,1,2,55,37,37,3913.78,26,10386.57,6.192,1,0,Southeast,City
Tulane University of Louisiana,8290,79,46930,Southeast,Private not-for-profit,No,No,City,0,4,9,6,0,72,3,3,3,58,10,75,1575.1,19,5968.8,46.93,0,0,Southeast,City
Xavier University of Louisiana,2504,99,20560,Southeast,Private not-for-profit,Yes,No,City,0,10,77,2,0,4,3,1,2,71,60,74,2228.56,89,100.16,20.56,0,1,Southeast,City
College of the Atlantic,362,100,38952,New England,Private not-for-profit,No,No,Town,1,2,1,5,0,69,2,4,15,67,31,100,32.58,9,249.77999999999997,38.952,0,0,New England,Town
Bates College,1791,43,45650,New England,Private not-for-profit,No,No,City,0,5,5,6,0,72,4,1,6,50,8,41,286.56,16,1289.52,45.65,0,0,New England,City
Bowdoin College,1795,50,45446,New England,Private not-for-profit,No,No,Town,0,7,5,12,0,64,6,1,5,50,14,50,430.8,24.000000000000004,1148.8,45.446,0,0,New England,Town
Colby College,1820,47,45760,New England,Private not-for-profit,No,No,Town,0,5,3,6,0,60,5,12,8,52,12,41,254.8,14.000000000000002,1092,45.76,0,0,New England,Town
Husson University,2350,79,15130,New England,Private not-for-profit,No,No,City,1,1,4,1,0,88,1,0,4,59,29,61,164.49999999999997,6.999999999999999,2068,15.13,0,0,New England,City
University of Maine at Augusta,4770,89,7500,New England,Public,No,No,Town,2,0,1,1,0,82,2,11,0,71,70,29,190.8,4,3911.3999999999996,7.5,1,0,New England,Town
University of Maine at Farmington,1901,96,9167,New England,Public,No,No,Town,1,1,1,2,0,83,2,9,1,66,49,73,95.05000000000001,5,1577.83,9.167,1,0,New England,Town
University of Maine at Fort Kent,1209,97,7575,New England,Public,No,No,Rural,1,0,2,1,0,75,1,12,8,71,52,88,48.36,4,906.75,7.575,1,0,New England,Rural
University of Maine at Machias,892,98,7490,New England,Public,No,No,Rural,2,0,3,3,0,74,2,16,1,70,60,96,71.36,8,660.08,7.49,1,0,New England,Rural
University of Maine,9182,93,10600,New England,Public,No,No,Suburb,1,1,2,2,0,79,2,9,3,48,42,71,550.92,6,7253.780000000001,10.6,1,0,New England,Suburb
Maine Maritime Academy,994,72,11950,New England,Public,No,No,Rural,0,1,1,1,0,95,0,2,0,13,22,23,29.82,3,944.3,11.95,1,0,New England,Rural
University of Maine at Presque Isle,1263,99,7300,New England,Public,No,No,Rural,3,0,1,1,0,74,2,13,6,63,58,80,63.150000000000006,5,934.62,7.3,1,0,New England,Rural
University of New England,2653,100,33145,New England,Private not-for-profit,No,No,Suburb,0,3,2,1,0,65,1,28,1,71,27,100,159.18,6.000000000000001,1724.45,33.145,0,0,New England,Suburb
Saint Joseph's College of Maine,1276,98,30990,New England,Private not-for-profit,No,No,Rural,1,1,2,2,0,59,0,35,0,67,30,96,76.56,6.000000000000001,752.8399999999999,30.99,0,0,New England,Rural
University of Southern Maine,7098,93,8920,New England,Public,No,No,City,1,2,3,2,0,74,2,16,1,57,45,59,567.84,8,5252.5199999999995,8.92,1,0,New England,City
Thomas College,1339,98,22770,New England,Private not-for-profit,No,No,Rural,0,0,3,2,0,68,6,20,2,52,55,98,66.95,5,910.5200000000001,22.77,0,0,New England,Rural
Unity College,553,99,25000,New England,Private not-for-profit,No,No,Rural,2,1,1,3,0,89,3,0,0,51,43,98,38.71,7.000000000000001,492.17,25,0,0,New England,Rural
University of Baltimore,3526,95,7838,Mid East,Public,No,No,City,0,4,46,5,0,35,3,4,2,57,57,73,1939.3000000000002,55.00000000000001,1234.1,7.838,1,0,Mid East,City
Bowie State University,4358,90,6971,Mid East,Public,Yes,No,Suburb,0,1,89,3,0,2,3,1,1,62,52,49,4052.94,93,87.16,6.971,1,1,Mid East,Suburb
Washington Adventist University,1011,98,21020,Mid East,Private not-for-profit,No,No,Suburb,1,7,58,11,0,10,1,9,2,65,53,93,778.4699999999999,76.99999999999999,101.10000000000001,21.02,0,0,Mid East,Suburb
Coppin State University,2920,95,6252,Mid East,Public,Yes,No,City,0,0,83,2,0,1,2,4,8,74,72,39,2482,85,29.2,6.252,1,1,Mid East,City
Frostburg State University,4703,83,7728,Mid East,Public,No,No,Suburb,0,1,27,4,0,60,4,1,2,49,36,44,1504.96,32,2821.7999999999997,7.728,1,0,Mid East,Suburb
Goucher College,1449,91,39084,Mid East,Private not-for-profit,No,No,City,0,3,9,7,0,68,4,6,2,66,26,88,275.31,19,985.32,39.084,0,0,Mid East,City
Hood College,1388,98,33280,Mid East,Private not-for-profit,No,No,City,0,3,12,8,0,65,4,5,3,66,27,98,319.23999999999995,22.999999999999996,902.2,33.28,0,0,Mid East,City
Johns Hopkins University,6117,61,45470,Mid East,Private not-for-profit,No,No,City,0,18,6,10,0,49,4,2,10,51,15,47,2079.7799999999997,34,2997.33,45.47,0,0,Mid East,City
Loyola University Maryland,4004,81,43250,Mid East,Private not-for-profit,No,No,City,0,3,5,9,0,79,2,1,0,59,15,65,680.68,17,3163.1600000000003,43.25,0,0,Mid East,City
University of Maryland-University College,26740,77,6552,Mid East,Public,No,No,Suburb,0,4,29,9,1,42,3,10,1,49,60,11,11498.199999999999,42.99999999999999,11230.8,6.552,1,0,Mid East,Suburb
University of Maryland-Baltimore County,11136,77,10068,Mid East,Public,No,No,Suburb,0,20,16,6,0,45,4,5,4,45,21,50,4677.12,42,5011.2,10.068,1,0,Mid East,Suburb
University of Maryland-College Park,26658,73,9162,Mid East,Public,No,No,Suburb,0,15,12,9,0,53,4,3,3,47,15,53,9596.88,36,14128.740000000002,9.162,1,0,Mid East,Suburb
University of Maryland Eastern Shore,3530,93,6998,Mid East,Public,Yes,No,Town,0,1,73,2,0,12,8,1,3,55,58,43,2682.8,76,423.59999999999997,6.998,1,1,Mid East,Town
Morgan State University,6252,95,7218,Mid East,Public,Yes,No,City,0,1,84,3,0,2,3,1,4,55,60,34,5501.76,88,125.04,7.218,1,1,Mid East,City
Mount St Mary's University,1741,100,34644,Mid East,Private not-for-profit,No,No,Town,0,2,10,9,0,73,3,2,1,55,20,100,365.61,21.000000000000004,1270.93,34.644,0,0,Mid East,Town
Notre Dame of Maryland University,1234,99,32050,Mid East,Private not-for-profit,No,No,City,1,5,28,6,0,57,0,1,1,95,58,99,493.6,40,703.38,32.05,0,0,Mid East,City
Salisbury University,8004,88,8128,Mid East,Public,No,No,Suburb,0,2,12,4,0,73,4,3,1,57,16,67,1440.72,18,5842.92,8.128,1,0,Mid East,Suburb
St Mary's College of Maryland,1819,72,14864,Mid East,Public,No,No,Suburb,0,3,8,6,0,74,4,3,2,59,12,58,309.22999999999996,17,1346.06,14.864,1,0,Mid East,Suburb
Sojourner-Douglass College,1037,93,9830,Mid East,Private not-for-profit,No,No,City,0,0,88,1,0,3,0,0,8,89,52,63,922.9300000000001,89,31.11,9.83,0,0,Mid East,City
St John's College,443,75,46296,Mid East,Private not-for-profit,No,No,Suburb,0,2,2,6,0,74,3,2,10,45,21,72,44.300000000000004,10,327.82,46.296,0,0,Mid East,Suburb
Towson University,18779,75,8342,Mid East,Public,No,No,City,0,5,15,5,0,65,3,4,2,60,22,34,4694.75,25,12206.35,8.342,1,0,Mid East,City
Stevenson University,3965,99,27082,Mid East,Private not-for-profit,No,No,Rural,0,3,28,4,0,57,2,5,0,65,33,98,1387.7500000000002,35,2260.0499999999997,27.082,0,0,Mid East,Rural
Washington College,1483,93,41120,Mid East,Private not-for-profit,No,No,Town,0,1,3,4,0,77,2,5,8,58,15,91,118.64,8,1141.91,41.12,0,0,Mid East,Town
McDaniel College,1692,99,36960,Mid East,Private not-for-profit,No,No,Suburb,0,4,12,6,0,73,0,4,1,53,32,99,372.24,22,1235.16,36.96,0,0,Mid East,Suburb
American International College,1513,100,30040,New England,Private not-for-profit,No,No,City,0,2,25,8,1,44,4,15,1,58,51,100,544.6800000000001,36.00000000000001,665.72,30.04,0,0,New England,City
Amherst College,1785,65,46574,New England,Private not-for-profit,No,No,Suburb,0,13,12,13,0,42,6,6,10,50,17,57,678.3,37.99999999999999,749.6999999999999,46.574,0,0,New England,Suburb
Anna Maria College,1143,100,32134,New England,Private not-for-profit,No,No,Rural,0,1,8,7,0,72,2,10,0,57,50,100,182.88,16,822.9599999999999,32.134,0,0,New England,Rural
Assumption College,2240,99,34975,New England,Private not-for-profit,No,No,City,0,2,5,7,0,69,2,14,1,61,24,99,313.6,14.000000000000002,1545.6,34.975,0,0,New England,City
Bay Path College,1458,100,29959,New England,Private not-for-profit,No,No,Suburb,0,1,12,15,0,59,2,10,0,100,52,100,408.24000000000007,28.000000000000004,860.2199999999999,29.959,0,0,New England,Suburb
Becker College,1902,100,31500,New England,Private not-for-profit,No,No,City,0,1,8,9,0,66,3,11,1,57,36,100,342.36,18,1255.3200000000002,31.5,0,0,New England,City
Bentley University,4247,77,41110,New England,Private not-for-profit,No,No,City,0,8,3,7,0,61,2,4,16,40,17,69,764.4599999999999,18,2590.67,41.11,0,0,New England,City
