Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Menlo College,745,98,37100,Far West,Private not-for-profit,No,No,Suburb,0,7,6,21,2,36,8,7,13,38,33,98,268.2,36,268.2,37.1,0,0,Far West,Suburb
Mills College,985,100,41494,Far West,Private not-for-profit,No,No,City,1,12,6,22,1,47,9,2,1,100,42,99,413.70000000000005,42.00000000000001,462.95,41.494,0,0,Far West,City
Mount St Mary's College,2625,100,33852,Far West,Private not-for-profit,No,No,City,0,16,7,58,1,10,2,5,1,94,70,100,2152.5,82,262.5,33.852,0,0,Far West,City
National University,10074,41,12096,Far West,Private not-for-profit,No,No,City,1,10,11,25,2,40,4,5,2,57,24,0,4936.26,49.00000000000001,4029.6000000000004,12.096,0,0,Far West,City
Notre Dame de Namur University,1213,100,31126,Far West,Private not-for-profit,No,No,Suburb,1,12,6,34,3,26,4,11,4,67,49,97,679.2800000000001,56.00000000000001,315.38,31.126,0,0,Far West,Suburb
Occidental College,2128,69,46652,Far West,Private not-for-profit,No,No,City,0,13,4,16,0,51,9,2,5,56,21,65,702.24,33,1085.28,46.652,0,0,Far West,City
Hope International University,925,98,26050,Far West,Private not-for-profit,No,No,Suburb,0,3,8,17,1,44,14,11,1,55,51,96,268.25000000000006,29.000000000000004,407,26.05,0,0,Far West,Suburb
Pacific Union College,1645,100,27480,Far West,Private not-for-profit,No,No,Rural,0,18,8,27,2,27,7,10,2,56,50,100,904.7500000000001,55.00000000000001,444.15000000000003,27.48,0,0,Far West,Rural
University of the Pacific,3877,91,39810,Far West,Private not-for-profit,No,No,City,1,32,3,19,0,32,4,4,5,52,29,90,2132.3500000000004,55.00000000000001,1240.64,39.81,0,0,Far West,City
Pepperdine University,3538,72,44902,Far West,Private not-for-profit,No,No,Suburb,0,14,7,15,0,42,6,6,9,59,22,66,1273.68,36.00000000000001,1485.96,44.902,0,0,Far West,Suburb
Pitzer College,1081,41,45018,Far West,Private not-for-profit,No,No,Suburb,0,6,5,15,0,49,8,11,5,60,14,33,281.06,26,529.6899999999999,45.018,0,0,Far West,Suburb
Point Loma Nazarene University,2556,93,30356,Far West,Private not-for-profit,No,No,City,1,6,3,19,1,64,5,1,0,63,27,82,766.8,30,1635.8400000000001,30.356,0,0,Far West,City
Pomona College,1610,68,43580,Far West,Private not-for-profit,No,No,Suburb,0,12,6,15,0,44,7,9,8,52,19,57,531.3,32.99999999999999,708.4,43.58,0,0,Far West,Suburb
University of Redlands,3607,94,41290,Far West,Private not-for-profit,No,No,City,1,5,5,25,1,49,4,10,1,55,26,93,1334.59,37,1767.43,41.29,0,0,Far West,City
San Diego State University,27099,62,6766,Far West,Public,No,No,City,0,14,4,29,0,37,6,5,5,55,34,29,12736.529999999999,47,10026.63,6.766,1,0,Far West,City
University of San Diego,5665,76,41392,Far West,Private not-for-profit,No,No,City,0,6,3,19,0,55,6,5,7,55,17,72,1586.2,28.000000000000004,3115.7500000000005,41.392,0,0,Far West,City
San Francisco State University,26156,70,6450,Far West,Public,No,No,City,0,29,5,24,1,23,6,4,8,57,47,40,15432.039999999999,59,6015.88,6.45,1,0,Far West,City
University of San Francisco,6392,71,40294,Far West,Private not-for-profit,No,No,City,0,19,3,19,0,31,7,2,18,62,24,65,2620.7200000000003,41,1981.52,40.294,0,0,Far West,City
San Jose State University,25862,60,7343,Far West,Public,No,No,City,0,35,3,24,1,22,5,4,5,49,40,30,16293.06,63,5689.64,7.343,1,0,Far West,City
Santa Clara University,5435,84,42156,Far West,Private not-for-profit,No,No,City,0,14,3,17,0,48,7,8,3,50,12,82,1847.9,34,2608.7999999999997,42.156,0,0,Far West,City
Scripps College,990,61,45564,Far West,Private not-for-profit,No,No,Suburb,0,17,3,8,0,50,7,10,4,100,12,52,277.20000000000005,28.000000000000004,495,45.564,0,0,Far West,Suburb
Simpson University,1024,100,23300,Far West,Private not-for-profit,No,No,City,4,6,3,14,0,62,0,11,0,66,48,99,276.48,27,634.88,23.3,0,0,Far West,City
Saint Mary's College of California,3055,91,39890,Far West,Private not-for-profit,No,No,Rural,0,11,4,25,1,46,6,6,2,59,25,89,1252.5500000000002,41.00000000000001,1405.3,39.89,0,0,Far West,Rural
Sonoma State University,8391,62,7234,Far West,Public,No,No,Suburb,1,4,2,24,0,54,6,7,2,61,29,30,2601.21,31,4531.14,7.234,1,0,Far West,Suburb
Vanguard University of Southern California,2135,99,29250,Far West,Private not-for-profit,No,No,City,1,4,4,34,1,46,5,4,1,68,39,97,939.4000000000001,44.00000000000001,982.1,29.25,0,0,Far West,City
University of Southern California,18445,67,46298,Far West,Private not-for-profit,No,No,City,0,23,4,13,0,37,5,5,13,50,18,59,7378,40,6824.65,46.298,0,0,Far West,City
Thomas Aquinas College,366,82,24500,Far West,Private not-for-profit,No,No,Rural,0,1,0,15,0,73,4,2,3,49,35,73,58.56,16,267.18,24.5,0,0,Far West,Rural
Westmont College,1308,99,38510,Far West,Private not-for-profit,No,No,Suburb,0,6,1,13,0,66,7,4,2,61,21,99,261.6,20,863.2800000000001,38.51,0,0,Far West,Suburb
Whittier College,1656,94,40296,Far West,Private not-for-profit,No,No,Suburb,1,9,5,42,0,35,4,0,4,56,35,92,943.92,56.99999999999999,579.5999999999999,40.296,0,0,Far West,Suburb
Woodbury University,1357,79,33150,Far West,Private not-for-profit,No,No,City,0,9,4,29,1,37,2,0,18,51,49,75,583.51,43,502.09,33.15,0,0,Far West,City
Adams State University,2284,92,7449,Rocky Mountains,Public,No,No,Town,1,1,7,31,1,51,4,4,0,50,51,68,936.44,41,1164.84,7.449,1,0,Rocky Mountains,Town
University of Colorado Denver,13010,71,7933,Rocky Mountains,Public,No,No,City,0,9,5,17,0,52,3,6,8,53,37,50,4033.100000000001,31.000000000000007,6765.2,7.933,1,0,Rocky Mountains,City
University of Colorado Colorado Springs,9220,76,7024,Rocky Mountains,Public,No,No,City,1,3,4,14,0,68,6,3,1,53,29,37,2028.4000000000003,22.000000000000004,6269.6,7.024,1,0,Rocky Mountains,City
University of Colorado Boulder,26096,59,10347,Rocky Mountains,Public,No,No,City,0,5,2,10,0,74,4,2,4,45,17,39,4436.320000000001,17,19311.04,10.347,1,0,Rocky Mountains,City
Colorado Christian University,4973,98,25046,Rocky Mountains,Private not-for-profit,No,No,City,1,1,6,9,0,50,2,30,0,66,30,95,845.41,17,2486.5,25.046,0,0,Rocky Mountains,City
Colorado College,2041,53,44222,Rocky Mountains,Private not-for-profit,No,No,City,0,4,2,9,0,69,8,1,7,55,10,44,306.15,15,1408.29,44.222,0,0,Rocky Mountains,City
Colorado School of Mines,4291,87,16485,Rocky Mountains,Public,No,No,Suburb,0,5,1,8,0,74,4,2,5,27,16,72,600.74,14.000000000000002,3175.34,16.485,1,0,Rocky Mountains,Suburb
